epoch,train_loss,valid_loss
1,5.002596759796143,4.495002388954163
2,4.12230803489685,3.979994475841522
3,3.711820697784424,3.712786018848419
4,3.36948634147644,3.556459903717041
5,3.1162772941589356,3.3164541125297546
6,2.8831064033508302,3.2171621918678284
7,2.6733949184417725,3.074245810508728
8,2.4532580757141114,3.063965141773224
9,2.2574259090423583,2.9572523832321167
10,2.084135799407959,2.978476881980896
11,1.9179366159439086,2.888934910297394
12,1.7480196619033814,2.8109665513038635
13,1.583281807899475,2.79461008310318
14,1.4413943195343017,2.889102339744568
15,1.3015262460708619,2.7093417644500732
16,1.18036883354187,2.7195017337799072
17,1.050780484676361,2.6465465426445007
18,0.9320075130462646,2.6202865839004517
19,0.8285851120948792,2.6508508920669556
20,0.73636465549469,2.617553234100342
21,0.6365138685703278,2.5750551223754883
22,0.5574577474594116,2.5495147109031677
23,0.4834457802772522,2.550824820995331
24,0.41666203618049624,2.5523358583450317
25,0.3602838122844696,2.5919129252433777
26,0.3089126217365265,2.68207323551178
27,0.2627646380662918,2.586572825908661
28,0.2353959572315216,2.6348935961723328
29,0.20665374159812927,2.565048038959503
30,0.19044437646865844,2.5841991305351257
31,0.16364576607942583,2.670112431049347
32,0.1455625507235527,2.588896095752716
33,0.1283050987124443,2.648154318332672
34,0.11078466683626174,2.597697138786316
35,0.11119865238666535,2.6367868781089783
36,0.098168166577816,2.581290125846863
37,0.08485326081514359,2.6607861518859863
38,0.07958770394325257,2.7800049781799316
39,0.07805456101894379,2.6608681082725525
40,0.07162351235747337,2.8143880367279053
