epoch,train_loss,valid_loss,learning_rate,time
1,4.818683462483542,4.216842447008405,0.0005,120.49209928512573
2,3.892973870038986,3.6757194995880127,0.0005,107.30192708969116
3,3.3570517046110973,3.2873757566724504,0.0005,77.64381861686707
4,2.939194083213806,2.9085750239236012,0.0005,77.13747763633728
5,2.561600889478411,2.6483023166656494,0.0005,79.3901846408844
6,2.251370745045798,2.379005261829921,0.0005,75.54221963882446
7,2.005666109068053,2.200981310435704,0.0005,75.57196879386902
8,1.8113441339560918,2.0426043612616405,0.0005,77.60254096984863
9,1.6715404668024607,1.9471036195755005,0.0005,73.64041018486023
10,1.5704964335475649,1.841621024268014,0.0005,75.04120802879333
11,1.4999840685299464,1.7441492250987463,0.0005,73.2131872177124
12,1.4505188848291124,1.7522617408207484,0.0005,75.18428158760071
13,1.4163348525762558,1.7005246196474348,0.0005,71.98478055000305
14,1.3914010567324502,1.6920562982559204,0.0005,74.65712666511536
15,1.3698826794113432,1.6993955203465052,0.0005,78.26951718330383
16,1.3500836001975196,1.6694752318518502,0.0005,77.1939799785614
17,1.3365473300218582,1.6893644162586756,0.0005,76.18974447250366
18,1.32433078118733,1.67034878049578,0.0005,73.56418871879578
19,1.3114189569439207,1.6644604887281145,0.0005,75.84174633026123
20,1.3058790351663316,1.654265591076442,0.0005,74.95903182029724
21,1.293437619294439,1.710922462599618,0.0005,75.065988779068
22,1.287136054464749,1.6551652295248849,0.0005,77.94798016548157
23,1.2720261386462621,1.6391717195510864,0.0005,73.39131617546082
24,1.2689290876899446,1.664809090750558,0.0005,77.07060289382935
25,1.265054206762995,1.680125253541129,0.0005,74.86542010307312
26,1.2562908168349947,1.6842798846108573,0.0005,73.73120784759521
27,1.2463360173361642,1.697314705167498,0.00025,75.5599889755249
28,1.2223679678780692,1.6841096367154802,0.00025,75.03027844429016
29,1.210682722074645,1.6866065604346139,0.00025,76.2066912651062
30,1.1997589000633784,1.6857891763959612,0.00025,74.32143807411194
