epoch,train_loss,valid_loss,time_seconds
1,4.89518792288644,4.242201447486877,35.303215742111206
2,3.987893717629569,4.108522653579712,29.9886577129364
3,3.5703798816317605,3.654799997806549,31.439521312713623
4,3.1515145983014787,3.501579761505127,34.108219146728516
5,2.783642814272926,3.430944502353668,28.615715742111206
6,2.499472493217105,3.3714097142219543,25.853935480117798
7,2.219756398882185,3.3073264360427856,32.73460340499878
8,1.9578691550663538,3.1929016709327698,33.60681486129761
9,1.7227881919770014,3.181140124797821,30.02237558364868
10,1.520254027275812,3.12005752325058,33.83902955055237
11,1.3605494385673886,3.1931362748146057,30.87666630744934
12,1.1688016880126226,3.135166645050049,30.551430225372314
13,1.0265560348828633,3.0093920826911926,31.871248722076416
14,0.8876264776502337,3.0013753175735474,30.763235330581665
15,0.7525236351149422,2.9869887232780457,35.03974986076355
16,0.6325266276087079,3.0357670187950134,37.8844940662384
17,0.5428839027881622,3.0136093497276306,32.07810187339783
18,0.43902958574749174,3.0284757018089294,38.55748009681702
19,0.3690878294763111,2.911198139190674,36.62211012840271
20,0.30026269810540335,3.067419469356537,38.9079167842865
21,0.25655920732588994,3.083157241344452,39.598875761032104
22,0.22949685085387456,2.9513550996780396,31.61685848236084
23,0.18560573103882017,2.9399441480636597,36.1611225605011
24,0.1714724749326706,3.01404345035553,32.21127772331238
25,0.15283985471441633,3.051360070705414,32.00591778755188
26,0.12310519708054406,3.076102137565613,29.025477409362793
27,0.1139046780410267,3.0806804895401,31.000101804733276
28,0.1119056883312407,3.202951490879059,34.184858560562134
29,0.11568055124509902,3.084824860095978,41.00006914138794
30,0.10385301176990781,3.134803891181946,41.357372760772705
31,0.0987086792786916,3.1465315222740173,33.99641013145447
32,0.08860680709282558,3.046047806739807,32.793293714523315
33,0.07920265765417189,3.148790180683136,33.88701796531677
34,0.08188817437205996,3.2379700541496277,36.26889085769653
35,0.06872385616103809,3.3884647488594055,34.516151428222656
36,0.06409385002085141,3.4351378679275513,37.10008907318115
37,0.06386355878341765,3.3684616088867188,28.539997577667236
38,0.04733091770183472,3.4206777811050415,34.1339955329895
39,0.055265264940403756,3.3213990330696106,35.786003828048706
40,0.0721688936686232,3.254250943660736,33.593003273010254
