epoch,train_loss,valid_loss
1,5.142825262887137,4.48803186416626
2,4.219456059592111,4.108378569285075
3,3.8161721570151195,3.828495740890503
4,3.5074785891033353,3.6582449277242026
5,3.236449184871855,3.497591416041056
6,2.978394939785912,3.3517096042633057
7,2.7501529966081892,3.2549966176350913
8,2.547508818762643,3.150308847427368
9,2.3718239125751315,3.068948825200399
10,2.1641746078218733,3.023768107096354
11,2.0032807134446644,2.960573673248291
12,1.8260084390640259,2.9317826430002847
13,1.7041398968015398,2.855403502782186
14,1.531086382411775,2.8424340089162192
15,1.401541760989598,2.7642153898874917
16,1.293536004566011,2.747414509455363
17,1.1510361489795504,2.713327964146932
18,1.0447154357319786,2.682850996653239
19,0.9265961874099005,2.6554622650146484
20,0.8272495979354495,2.6374968687693277
21,0.7208083271980286,2.61039662361145
22,0.6166835143452599,2.600943406422933
23,0.5654981845901126,2.574696699778239
24,0.49274863941328867,2.6253816286722818
25,0.43541337620644344,2.593804677327474
26,0.37841458263851346,2.581165075302124
27,0.32673134548323496,2.605942646662394
28,0.2873013083423887,2.620126962661743
29,0.2472245856409981,2.5779718160629272
30,0.21225423685141973,2.622772296269735
31,0.18257559623037065,2.630783716837565
32,0.17264072384153092,2.617792328198751
33,0.16224666862260728,2.6521648168563843
34,0.1330312057620003,2.6973273754119873
35,0.11576044062773387,2.635565678278605
36,0.10463722848466464,2.675771792729696
37,0.1004207336476871,2.6400802532831826
38,0.08343267689148585,2.677215337753296
39,0.07306090635912758,2.702195644378662
40,0.06744633526319549,2.768066724141439
