epoch,train_loss,valid_loss,time_seconds
1,4.731213626861572,4.214720010757446,27.262635469436646
2,3.763151807785034,3.827923357486725,42.769402742385864
3,3.269873571395874,3.602648079395294,51.33104920387268
4,2.888684940338135,3.373722553253174,27.095709323883057
5,2.5449845504760744,3.2929744720458984,26.604212284088135
6,2.2585209941864015,3.200872302055359,29.137677907943726
7,1.997936816215515,3.0641480088233948,27.340131044387817
8,1.7710199737548828,3.0380648374557495,26.241682767868042
9,1.5453913402557373,2.9269351959228516,26.450350999832153
10,1.331169924736023,2.938256025314331,27.60908055305481
11,1.170143575668335,2.916645109653473,26.13835883140564
12,0.9954836440086364,2.826486885547638,25.678625106811523
13,0.8501860904693603,2.915508508682251,27.294450759887695
14,0.7453144431114197,2.7763466835021973,25.96071457862854
15,0.6387300419807435,2.9186554551124573,26.882547855377197
16,0.5161642372608185,2.8040537238121033,26.68197226524353
17,0.45916348457336426,2.71921044588089,27.092365980148315
18,0.37851662635803224,2.920548677444458,27.183079481124878
19,0.3175372040271759,2.8588388562202454,25.38866400718689
20,0.2765634912252426,2.8968666791915894,25.637482404708862
21,0.24262673616409303,2.857296407222748,26.103911876678467
22,0.2064591181278229,2.8647990822792053,25.586782932281494
23,0.1931060379743576,2.8009226322174072,25.569051027297974
24,0.17143541395664216,2.9759278893470764,26.58322048187256
25,0.14780331462621688,2.914782702922821,25.200411081314087
26,0.15261880487203597,2.828478515148163,25.339990854263306
27,0.15488698333501816,2.9985232949256897,25.600130558013916
28,0.11644277900457382,3.0492135286331177,25.005250930786133
29,0.10383148789405823,3.0481866598129272,25.627333641052246
30,0.10340051829814911,3.0859429836273193,25.56406545639038
31,0.11386272251605987,3.0672643184661865,26.109763383865356
32,0.10074783474206925,2.9719014763832092,25.494107961654663
33,0.1039221315085888,3.0986178517341614,25.279415130615234
34,0.09655010059475899,3.1787296533584595,25.225032329559326
35,0.09729904025793075,3.1373353600502014,25.054911613464355
36,0.09051955610513687,3.1934232115745544,25.44213557243347
37,0.08608002096414566,3.073689579963684,25.47473931312561
38,0.07254985734820366,3.215194284915924,25.542917013168335
39,0.0784770481288433,3.086787164211273,26.584454774856567
40,0.07706488847732544,3.050950825214386,25.11012029647827
